celltype,source,ID,Description,NES,pval,padj
Monocytes,REACTOME_ORA,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,NA,9.21693538940102e-7,9.1063321647282e-4
Monocytes,REACTOME_ORA,REACTOME_PARASITE_INFECTION,REACTOME_PARASITE_INFECTION,NA,8.5334808023839e-6,0.00421553951637765
Monocytes,REACTOME_ORA,REACTOME_LEISHMANIA_INFECTION,REACTOME_LEISHMANIA_INFECTION,NA,7.75661496391128e-5,0.0255451186144812
Monocytes,REACTOME_ORA,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,NA,2.0559405095915e-4,0.0490495800252279
Monocytes,REACTOME_ORA,REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,NA,2.4822661956087e-4,0.0490495800252279
