"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000185219",36.9166666666667,45.5714285714286,22.6513504204484,5.72355284156552e-08,0.000745893406312819,2.67165470559268
"ENSG00000179152",26.5,22.8571428571429,18.2213589482006,2.68546929074805e-07,0.00116656785990095,2.47312300368679
"ENSG00000111817",152.416666666667,120.571428571429,19.4539160898978,2.06540769573729e-07,0.00116656785990095,2.42110086757338
"ENSG00000087589",-209.25,174.571428571429,-15.790671113565,7.37580350773756e-07,0.00168519088254551,2.29747398033701
"ENSG00000108651",-36.25,41.7142857142857,-15.6998703671097,7.68108872646361e-07,0.00168519088254551,2.28952966667192
"ENSG00000175182",-20.5,35.7142857142857,-15.6774370261879,7.75870572074362e-07,0.00168519088254551,2.28754884294186
"ENSG00000233058",13.9166666666667,6.71428571428571,13.8796190458223,1.82169651237448e-06,0.00263781654991825,2.10202822362175
"ENSG00000166145",-47.9166666666667,32.7142857142857,-16.3175697401538,1.26731350386617e-06,0.00206445369779798,1.85601045162165
"ENSG00000183696",435.083333333333,246.714285714286,12.0230328634935,4.93991691753574e-06,0.00463059793487521,1.83710102483162
"ENSG00000117859",57.5833333333333,104.428571428571,12.022251059851,4.94213666772083e-06,0.00463059793487521,1.83696893995717
"ENSG00000219626",16,18.8571428571429,12.0108791149013,4.97455272316245e-06,0.00463059793487521,1.83504541169795
"ENSG00000102010",56.75,51.5714285714286,15.095043434964,2.02472830204986e-06,0.00263862592323137,1.78605035826636
"ENSG00000023902",-305.166666666667,196.714285714286,-12.4772225697712,4.82771575416916e-06,0.00463059793487521,1.75005780503494
"ENSG00000158089",135,77.8571428571429,18.3271258249525,9.22941732377936e-07,0.00171825380804989,1.7137815107109
"ENSG00000138735",12.75,8.71428571428571,11.1464333786031,8.31957208072259e-06,0.00677629145974855,1.67558224012205
"ENSG00000064419",67.0833333333333,87,12.3314769449507,5.99704182670735e-06,0.00521022993904334,1.63366811780255
"ENSG00000128294",213.583333333333,183.285714285714,11.0275779494551,1.03052718067559e-05,0.00775431078713173,1.55166548555712
"ENSG00000117592",37.9166666666667,81,10.3264423037969,1.40251005663351e-05,0.00775431078713173,1.49650562897543
"ENSG00000233137",-61.0833333333333,117.571428571429,-10.2280621752657,1.49688330643784e-05,0.00775431078713173,1.4729166720671
"ENSG00000170379",17,11.2857142857143,10.5529334217385,1.35194971797491e-05,0.00775431078713173,1.46929408079132
"ENSG00000003509",13.5,14.2857142857143,10.1864345762049,1.53896063925604e-05,0.00775431078713173,1.4627885649232
"ENSG00000070961",-208.166666666667,193.285714285714,-10.116640292034,1.61254357924055e-05,0.00775431078713173,1.44560790239302
"ENSG00000179604",-9.83333333333333,19.2857142857143,-10.0939256255434,1.63734264996323e-05,0.00775431078713173,1.43996189841086
"ENSG00000076641",159.416666666667,167.571428571429,10.4315968214342,1.46705218157886e-05,0.00775431078713173,1.4392252238207
"ENSG00000169764",70.5833333333333,130,10.0507441142421,1.68568441325787e-05,0.00775431078713173,1.42915392021744
"ENSG00000091106",532.083333333333,296.285714285714,9.78709325937047,2.01829391092328e-05,0.00775431078713173,1.36098017756035
"ENSG00000176476",15.1666666666667,16,9.60618256722167,2.28941276740983e-05,0.00775431078713173,1.31193726385409
"ENSG00000068305",334.333333333333,253.285714285714,9.56837028812754,2.35114176346993e-05,0.00775431078713173,1.30144423154514
"ENSG00000113763",7.83333333333333,4.85714285714286,9.55102627154153,2.38008311452785e-05,0.00775431078713173,1.29660258467537
"ENSG00000180758",-16.9166666666667,15,-9.85399228318777,2.16789138220866e-05,0.00775431078713173,1.29312550658563
"ENSG00000170653",31.5,48,10.3003278262546,1.91058859547768e-05,0.00775431078713173,1.28035411717167
"ENSG00000196712",30.6666666666667,80.1428571428571,9.43891606026019,2.57715545359392e-05,0.00819158289542342,1.26486604117216
"ENSG00000121067",-29.3333333333333,73.4285714285714,-9.3245456074929,2.79739799257688e-05,0.00847806759052602,1.23168667840529
"ENSG00000165115",-30.6666666666667,36.8571428571429,-10.4363199446522,2.09211559092434e-05,0.00775431078713173,1.18461218545782
"ENSG00000173825",-32,23.2857142857143,-11.1805630711158,1.67026905798315e-05,0.00775431078713173,1.17830460232312
"ENSG00000203710",3016.33333333333,1955.71428571429,9.14401997216591,3.18964992568594e-05,0.00873618874880644,1.17760615540516
"ENSG00000054611",-51.5,87.4285714285714,-9.72731541934405,2.70877694582472e-05,0.00840494789475899,1.1610447699225
"ENSG00000253882",23.5833333333333,14.8571428571429,10.4660344094482,2.18779506102797e-05,0.00775431078713173,1.14620259770131
"ENSG00000131480",-66.9166666666667,58.5714285714286,-11.7400922398147,1.50065986543786e-05,0.00775431078713173,1.13308166343603
"ENSG00000169439",-15.4166666666667,9.14285714285714,-9.41382066752907,3.11320917601483e-05,0.00873618874880644,1.13235636701177
"ENSG00000225697",34.8333333333333,26.4285714285714,11.0804216264297,1.86311146330926e-05,0.00775431078713173,1.12399450347315
"ENSG00000178896",32.1666666666667,21.2857142857143,11.01879094837,1.92864118176955e-05,0.00775431078713173,1.11324847750513
"ENSG00000168758",7.75,4.57142857142857,8.91423224850731,3.78178912895111e-05,0.00912671776453534,1.10560028395973
"ENSG00000163933",15.0833333333333,15.7142857142857,9.02445680588331,3.68470127756694e-05,0.0090601937828778,1.09912950010393
"ENSG00000167987",-60.75,61.7142857142857,-10.9603214864607,2.12642171578185e-05,0.00775431078713173,1.05786751436526
"ENSG00000137171",-13.8333333333333,29.5714285714286,-8.70946586215182,4.41551540911899e-05,0.00992120634683426,1.03828197482851
