"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","negLog10P","padj"
"ENSG00000185219",36.9166666666667,45.5714285714286,22.6513504204484,5.72355284156552e-08,0.000745893406312819,2.67165470559268,"ZNF445","353274",7.24233430328864,0.000745893406312819
"ENSG00000179152",26.5,22.8571428571429,18.2213589482006,2.68546929074805e-07,0.00116656785990095,2.47312300368679,"TCAIM","285343",6.57097980956475,0.00116656785990095
"ENSG00000111817",152.416666666667,120.571428571429,19.4539160898978,2.06540769573729e-07,0.00116656785990095,2.42110086757338,"DSE","29940",6.68499420912492,0.00116656785990095
"ENSG00000087589",-209.25,174.571428571429,-15.790671113565,7.37580350773756e-07,0.00168519088254551,2.29747398033701,"CASS4","57091",6.13219066145578,0.00168519088254551
"ENSG00000108651",-36.25,41.7142857142857,-15.6998703671097,7.68108872646361e-07,0.00168519088254551,2.28952966667192,"UTP6","55813",6.1145772181997,0.00168519088254551
"ENSG00000175182",-20.5,35.7142857142857,-15.6774370261879,7.75870572074362e-07,0.00168519088254551,2.28754884294186,"FAM131A","131408",6.11021072013615,0.00168519088254551
"ENSG00000233058",13.9166666666667,6.71428571428571,13.8796190458223,1.82169651237448e-06,0.00263781654991825,2.10202822362175,NA,NA,5.7395239731256,0.00263781654991825
"ENSG00000166145",-47.9166666666667,32.7142857142857,-16.3175697401538,1.26731350386617e-06,0.00206445369779798,1.85601045162165,"SPINT1","6692",5.89711593747867,0.00206445369779798
"ENSG00000183696",435.083333333333,246.714285714286,12.0230328634935,4.93991691753574e-06,0.00463059793487521,1.83710102483162,"UPP1","7378",5.30628035523813,0.00463059793487521
"ENSG00000117859",57.5833333333333,104.428571428571,12.022251059851,4.94213666772083e-06,0.00463059793487521,1.83696893995717,"OSBPL9","114883",5.30608524897515,0.00463059793487521
"ENSG00000219626",16,18.8571428571429,12.0108791149013,4.97455272316245e-06,0.00463059793487521,1.83504541169795,"FAM228B","375190",5.30324596187202,0.00463059793487521
"ENSG00000102010",56.75,51.5714285714286,15.095043434964,2.02472830204986e-06,0.00263862592323137,1.78605035826636,"BMX","660",5.69363324644296,0.00263862592323137
"ENSG00000023902",-305.166666666667,196.714285714286,-12.4772225697712,4.82771575416916e-06,0.00463059793487521,1.75005780503494,"PLEKHO1","51177",5.31625830817492,0.00463059793487521
"ENSG00000158089",135,77.8571428571429,18.3271258249525,9.22941732377936e-07,0.00171825380804989,1.7137815107109,"GALNT14","79623",6.0348257162065,0.00171825380804989
"ENSG00000138735",12.75,8.71428571428571,11.1464333786031,8.31957208072259e-06,0.00677629145974855,1.67558224012205,"PDE5A","8654",5.07989901118046,0.00677629145974855
"ENSG00000064419",67.0833333333333,87,12.3314769449507,5.99704182670735e-06,0.00521022993904334,1.63366811780255,"TNPO3","23534",5.22206292214023,0.00521022993904334
"ENSG00000128294",213.583333333333,183.285714285714,11.0275779494551,1.03052718067559e-05,0.00775431078713173,1.55166548555712,"TPST2","8459",4.98694054899709,0.00775431078713173
"ENSG00000117592",37.9166666666667,81,10.3264423037969,1.40251005663351e-05,0.00775431078713173,1.49650562897543,"PRDX6","9588",4.85309401597214,0.00775431078713173
"ENSG00000233137",-61.0833333333333,117.571428571429,-10.2280621752657,1.49688330643784e-05,0.00775431078713173,1.4729166720671,NA,NA,4.82481205493116,0.00775431078713173
"ENSG00000170379",17,11.2857142857143,10.5529334217385,1.35194971797491e-05,0.00775431078713173,1.46929408079132,"TCAF2","285966",4.86903946047435,0.00775431078713173
"ENSG00000003509",13.5,14.2857142857143,10.1864345762049,1.53896063925604e-05,0.00775431078713173,1.4627885649232,"NDUFAF7","55471",4.81277248762304,0.00775431078713173
"ENSG00000070961",-208.166666666667,193.285714285714,-10.116640292034,1.61254357924055e-05,0.00775431078713173,1.44560790239302,"ATP2B1","490",4.79248853965831,0.00775431078713173
"ENSG00000179604",-9.83333333333333,19.2857142857143,-10.0939256255434,1.63734264996323e-05,0.00775431078713173,1.43996189841086,"CDC42EP4","23580",4.78586042540408,0.00775431078713173
"ENSG00000076641",159.416666666667,167.571428571429,10.4315968214342,1.46705218157886e-05,0.00775431078713173,1.4392252238207,"PAG1","55824",4.83355443846162,0.00775431078713173
"ENSG00000169764",70.5833333333333,130,10.0507441142421,1.68568441325787e-05,0.00775431078713173,1.42915392021744,"UGP2","7360",4.77322372888657,0.00775431078713173
"ENSG00000091106",532.083333333333,296.285714285714,9.78709325937047,2.01829391092328e-05,0.00775431078713173,1.36098017756035,"NLRC4","58484",4.69501559003284,0.00775431078713173
"ENSG00000176476",15.1666666666667,16,9.60618256722167,2.28941276740983e-05,0.00775431078713173,1.31193726385409,"SGF29","112869",4.6402758995721,0.00775431078713173
"ENSG00000068305",334.333333333333,253.285714285714,9.56837028812754,2.35114176346993e-05,0.00775431078713173,1.30144423154514,"MEF2A","4205",4.62872118404538,0.00775431078713173
"ENSG00000113763",7.83333333333333,4.85714285714286,9.55102627154153,2.38008311452785e-05,0.00775431078713173,1.29660258467537,"UNC5A","90249",4.62340787674578,0.00775431078713173
"ENSG00000180758",-16.9166666666667,15,-9.85399228318777,2.16789138220866e-05,0.00775431078713173,1.29312550658563,"GPR157","80045",4.66396248103085,0.00775431078713173
"ENSG00000170653",31.5,48,10.3003278262546,1.91058859547768e-05,0.00775431078713173,1.28035411717167,"ATF7","11016",4.71883281893607,0.00775431078713173
"ENSG00000196712",30.6666666666667,80.1428571428571,9.43891606026019,2.57715545359392e-05,0.00819158289542342,1.26486604117216,"NF1","4763",4.58885938408712,0.00819158289542342
