"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000110203",273.666666666667,138.285714285714,30.819467544475,7.29426221098025e-09,0.000104483011910081,1.03292573746983
"ENSG00000068024",81.1666666666667,108.285714285714,14.7430162770334,1.30808791929683e-06,0.00500343338450636,0.664990765182161
"ENSG00000112053",35.4166666666667,24.4285714285714,15.093972008003,1.39721680662004e-06,0.00500343338450636,0.566940440796868
"ENSG00000184060",25.25,28.5714285714286,12.6550954581582,3.75705932055679e-06,0.00760842062825543,0.510782775213388
"ENSG00000187554",149.5,100.571428571429,17.7155002165128,7.14223709338729e-07,0.00500343338450636,0.480595520862581
"ENSG00000255717",-34,36.4285714285714,-12.758153976263,4.07045643296557e-06,0.00760842062825543,0.444684494533795
"ENSG00000187531",85.5833333333334,98.4285714285714,12.838366867275,4.24932735451295e-06,0.00760842062825543,0.404450994596832
"ENSG00000168297",33.3333333333334,59.2857142857143,11.5584396525495,6.98902088628762e-06,0.00916509210419209,0.400250000449025
"ENSG00000140688",-20,21.4285714285714,-11.0136155319919,9.7080998966133e-06,0.00993277306564921,0.334997670631719
"ENSG00000205565",40.25,23,13.5980060087934,4.20746737750748e-06,0.00760842062825543,0.261754466787951
"ENSG00000205581",-55.5,106.714285714286,-10.2857789222084,1.54187364334767e-05,0.0129916459219482,0.234559791447815
"ENSG00000203999",43.25,28.2857142857143,13.2078451674735,5.26837203176736e-06,0.00838490677589284,0.214892981145535
"ENSG00000185482",30.0833333333333,23.1428571428571,11.6460510709697,9.49063673088066e-06,0.00993277306564921,0.205840220898698
"ENSG00000248996",25.0833333333333,23,10.7399684783014,1.40473004371836e-05,0.0129266570126766,0.181937701540554
"ENSG00000123119",10.25,5.14285714285714,9.89301427929735,2.00348022725273e-05,0.0146476632585736,0.172992459625669
"ENSG00000145555",10.3333333333333,6.42857142857143,9.86267995690902,2.04519174233086e-05,0.0146476632585736,0.167998009936877
"ENSG00000257923",86.75,129.428571428571,9.54501689259692,2.55569267542696e-05,0.0147345574750693,0.111239806688443
"ENSG00000134571",69.5,48.2857142857143,12.9409212209119,7.03825838774874e-06,0.00916509210419209,0.109689687602658
"ENSG00000187775",73.3333333333334,49.4285714285714,12.6263650748528,8.21386794452236e-06,0.00980462036977819,0.0861638706652981
"ENSG00000001084",-12.1666666666667,14.2857142857143,-9.27166671219443,3.09083584034443e-05,0.0147345574750693,0.0631236387257665
"ENSG00000177302",25.5833333333333,55.7142857142857,9.22826381409751,3.18885284646151e-05,0.0147345574750693,0.0548161802686185
"ENSG00000213699",32.5833333333333,42.7142857142857,9.82947494540535,2.75852514449097e-05,0.0147345574750693,-0.00516457005377635
"ENSG00000168404",101.416666666667,122.714285714286,9.8861293530076,2.7028066095315e-05,0.0147345574750693,-0.00640837795818783
"ENSG00000226091",89.75,61.7142857142857,11.5368465039287,1.44391589083235e-05,0.0129266570126766,-0.00830591698280969
"ENSG00000261596",21,15,9.63904989128226,3.0084903369975e-05,0.0147345574750693,-0.0117389283199927
"ENSG00000104231",-13.0833333333333,15.1428571428571,-8.78490342054979,4.4194355147137e-05,0.0179182011493835,-0.035326540711897
"ENSG00000204389",314.833333333333,233.428571428571,8.74263594788011,4.56242387353534e-05,0.0179182011493835,-0.0444500191234063
"ENSG00000234431",91.5833333333334,69,11.052867516517,1.88485037023892e-05,0.0146476632585736,-0.0579368405688987
"ENSG00000162591",-42.8333333333333,46.1428571428571,-10.1443860483317,2.82321243021421e-05,0.0147345574750693,-0.0926423599645849
"ENSG00000138463",20.5,20.2857142857143,9.02639252957997,4.42565466094475e-05,0.0179182011493835,-0.0976830824880439
"ENSG00000197208",91,64,10.6732188012156,2.34068619692444e-05,0.0147345574750693,-0.100812784965074
"ENSG00000103196",247.333333333333,233,8.48563967844494,5.5528705999036e-05,0.0188395488883694,-0.102061793825959
"ENSG00000089220",-41.4166666666667,52,-9.73357094075626,3.39689764060513e-05,0.0152053630637587,-0.107767926903072
"ENSG00000167874",30.3333333333333,21,10.07043981313,2.98610875238669e-05,0.0147345574750693,-0.108977011362246
"ENSG00000180771",-39.5833333333333,40.2857142857143,-10.0373169974684,3.04825873179323e-05,0.0147345574750693,-0.113615732488358
"ENSG00000109743",249.833333333333,199.571428571429,8.90498687398752,4.8773177517882e-05,0.0179182011493835,-0.127690355446799
"ENSG00000198223",154.083333333333,135.285714285714,10.052844164106,3.11437910603606e-05,0.0147345574750693,-0.129892484351939
"ENSG00000130254",62.3333333333334,107.714285714286,8.54270119779174,5.91859606238917e-05,0.0188395488883694,-0.157238584182082
"ENSG00000115687",-33,25.8571428571429,-9.80447368144125,3.68099771938275e-05,0.0159777610098298,-0.172427737994284
"ENSG00000188997",23.1666666666667,28.4285714285714,8.72577467390173,5.76957854764604e-05,0.0188395488883694,-0.187610542071754
"ENSG00000131778",-15.8333333333333,19.7142857142857,-8.05827017144149,7.82241391160459e-05,0.0205783386064207,-0.209623535000113
"ENSG00000084112",64.75,85,9.19753636734966,5.04173070070907e-05,0.0180544376392392,-0.219882123483773
"ENSG00000114395",19.0833333333333,35.4285714285714,8.00243538697582,8.14659962185339e-05,0.0205783386064207,-0.221164667421693
"ENSG00000119669",152.583333333333,143.142857142857,9.29455260571997,4.87859428110832e-05,0.0179182011493835,-0.222959827781993
"ENSG00000109016",17.6666666666667,16.5714285714286,8.32380636619242,7.31899880507383e-05,0.0205783386064207,-0.235774245689738
"ENSG00000119321",148,193.428571428571,7.93686967949258,8.59409103561293e-05,0.0205783386064207,-0.238502928174476
